Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1961,1961,t,249800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1962,1962,t,333000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1963,1963,t,376800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1964,1964,t,555200,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1965,1965,t,574800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1966,1966,t,737800,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1967,1967,t,1034600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1968,1968,t,1208600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1969,1969,t,1356000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1970,1970,t,1479000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1971,1971,t,1798000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1972,1972,t,1839000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1973,1973,t,1829000,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1974,1974,t,1765700,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1975,1975,t,2748600,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1976,1976,t,2456900,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,356,India,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1977,1977,t,2913000,A,Official figure,Official data from questionnaire
